Date,Samsung,SK hynix
2025-06-23,100.0,100.0
2025-06-24,104.3,107.3
2025-06-25,105.7,110.2
2025-06-26,103.8,112.9
2025-06-27,104.8,109.4
2025-06-30,103.1,112.5
2025-07-01,103.8,110.0
2025-07-02,104.8,107.5
2025-07-03,110.0,107.3
2025-07-04,109.1,104.2
2025-07-07,106.4,104.4
2025-07-08,105.9,108.7
2025-07-09,104.1,108.3
2025-07-10,105.2,114.5
2025-07-11,107.9,113.5
2025-07-14,107.8,115.6
2025-07-15,109.8,115.0
2025-07-16,111.5,114.1
2025-07-17,115.0,103.8
2025-07-18,115.7,103.7
2025-07-21,116.9,105.0
2025-07-22,113.8,103.5
2025-07-23,114.5,103.7
2025-07-24,113.8,103.8
2025-07-25,113.6,102.5
2025-07-28,121.4,101.0
2025-07-29,121.7,101.2
2025-07-30,125.2,101.5
2025-07-31,123.1,105.4
2025-08-01,118.8,99.4
2025-08-04,120.2,99.4
2025-08-05,120.5,101.5
2025-08-06,118.6,99.6
2025-08-07,121.5,101.0
2025-08-08,123.8,98.8
2025-08-11,122.4,102.9
2025-08-12,122.6,103.7
2025-08-13,124.0,107.1
2025-08-14,123.5,106.5
2025-08-18,120.7,103.1
2025-08-19,120.7,101.3
2025-08-20,121.5,98.5
2025-08-21,121.7,94.4
2025-08-22,123.1,96.7
2025-08-25,123.3,100.0
2025-08-26,121.2,100.8
2025-08-27,121.7,100.2
2025-08-28,120.0,103.5
2025-08-29,120.2,103.7
2025-09-01,116.5,98.7
2025-09-02,119.1,100.4
2025-09-03,120.3,101.2
2025-09-04,120.9,102.3
2025-09-05,119.8,105.4
2025-09-08,120.9,106.7
2025-09-09,123.3,111.0
2025-09-10,125.2,117.2
2025-09-11,126.5,118.3
2025-09-12,130.0,126.6
2025-09-15,131.9,127.5
2025-09-16,136.9,134.1
2025-09-17,134.8,128.5
2025-09-18,138.4,137.0
2025-09-22,144.0,135.3
2025-09-23,146.0,139.1
2025-09-24,147.2,137.8
2025-09-25,148.4,137.4
2025-09-26,143.6,129.7
2025-09-29,145.2,134.5
2025-09-30,144.7,133.9
2025-10-01,148.3,138.7
2025-10-02,154.7,152.4
2025-10-10,162.8,164.9
2025-10-13,160.9,159.9
2025-10-14,157.9,158.6
2025-10-15,163.8,162.8
2025-10-16,168.4,174.4
2025-10-17,168.8,179.4
2025-10-20,169.1,187.1
2025-10-21,168.1,184.6
2025-10-22,170.0,185.6
2025-10-23,166.4,184.4
2025-10-24,170.3,196.5
2025-10-27,175.9,206.2
2025-10-28,171.6,200.8
2025-10-29,173.3,215.0
2025-10-30,179.5,218.9
2025-10-31,185.3,215.4
2025-11-03,191.6,238.9
2025-11-04,180.9,225.8
2025-11-05,173.4,223.1
2025-11-06,171.0,228.5
2025-11-07,168.8,223.5
2025-11-10,173.4,233.5
2025-11-11,178.4,238.5
2025-11-12,177.8,237.8
2025-11-13,177.2,235.8
2025-11-14,167.6,215.8
2025-11-17,173.4,233.5
2025-11-18,168.6,219.7
2025-11-19,166.4,216.6
2025-11-20,173.4,220.0
2025-11-21,163.4,200.8
2025-11-24,166.7,200.4
2025-11-25,171.2,200.0
2025-11-26,177.2,201.9
2025-11-27,178.4,209.6
2025-11-28,173.3,204.2
2025-12-01,173.8,207.3
2025-12-02,178.3,215.0
2025-12-03,180.2,212.7
2025-12-04,181.2,208.9
2025-12-05,186.9,209.6
2025-12-08,188.8,222.3
2025-12-09,186.9,218.1
2025-12-10,186.2,226.2
2025-12-11,185.0,217.7
2025-12-12,187.8,220.0
2025-12-15,180.7,213.5
2025-12-16,177.2,204.2
2025-12-17,186.0,212.3
2025-12-18,185.5,212.7
2025-12-19,183.3,210.8
2025-12-22,190.5,223.5
2025-12-23,192.2,225.1
2025-12-24,191.6,226.6
2025-12-26,201.7,230.8
2025-12-29,206.0,246.6
2025-12-30,206.7,250.9
2026-01-02,221.6,260.9
2026-01-05,238.1,268.2
2026-01-06,239.5,279.8
2026-01-07,243.1,285.9
2026-01-08,239.3,291.3
2026-01-09,239.7,286.7
2026-01-12,239.3,288.6
2026-01-13,237.2,284.4
2026-01-14,241.9,285.9
2026-01-15,248.1,288.6
2026-01-16,256.7,291.3
2026-01-19,257.4,294.4
2026-01-20,250.3,286.3
2026-01-21,257.8,285.2
2026-01-22,262.6,290.9
2026-01-23,262.2,295.6
2026-01-26,262.2,283.6
2026-01-27,275.0,308.3
2026-01-28,280.0,324.1
2026-01-29,277.1,331.8
2026-01-30,276.7,350.3
2026-02-02,259.3,319.9
2026-02-03,288.8,349.5
2026-02-04,291.6,346.8
2026-02-05,274.7,324.5
2026-02-06,273.4,323.3
2026-02-09,286.9,341.8
2026-02-10,285.9,337.6
2026-02-11,289.3,331.4
2026-02-12,307.9,342.2
2026-02-13,312.4,339.1
2026-02-19,327.6,344.5
2026-02-20,327.8,365.7
2026-02-23,332.8,366.5
2026-02-24,344.8,387.3
2026-02-25,350.9,392.3
2026-02-26,375.9,423.5
2026-02-27,373.3,408.9
2026-03-03,336.4,361.9
2026-03-04,296.9,327.2
2026-03-05,330.3,362.6
2026-03-06,324.5,356.1
2026-03-09,299.1,322.2
2026-03-10,324.0,361.5
2026-03-11,327.6,368.0
2026-03-12,324.0,358.4
2026-03-13,316.4,350.7
2026-03-16,325.3,375.3
2026-03-17,334.3,373.8
2026-03-18,359.5,406.9
2026-03-19,345.7,390.4
2026-03-20,343.8,388.1
2026-03-23,321.2,359.5
2026-03-24,327.1,380.0
2026-03-25,325.9,383.4
2026-03-26,310.5,359.5
2026-03-27,310.5,359.5
2026-03-30,304.0,336.4
2026-03-31,288.3,311.0
2026-04-01,327.0,345.7
2026-04-02,307.6,319.9
2026-04-03,321.0,337.6
2026-04-06,332.9,341.4
2026-04-07,338.8,353.0
2026-04-08,362.9,398.1
2026-04-09,351.7,384.6
2026-04-10,355.2,395.8
2026-04-13,346.6,400.8
2026-04-14,356.0,425.1
2026-04-15,363.8,437.8
2026-04-16,375.0,445.1
2026-04-17,372.4,434.7
2026-04-20,369.8,449.3
2026-04-21,377.6,471.7
2026-04-22,375.0,471.3
2026-04-23,387.1,472.1
2026-04-24,378.4,470.9
2026-04-27,387.1,497.9
2026-04-28,382.8,501.0
2026-04-29,389.7,498.3
2026-04-30,380.2,495.6
2026-05-04,400.9,557.6
2026-05-06,458.6,617.0
2026-05-07,468.1,637.4
2026-05-08,462.9,649.7
2026-05-11,492.2,724.5
2026-05-12,481.0,707.1
2026-05-13,489.7,761.5
2026-05-14,510.3,759.1
2026-05-15,466.4,701.0
2026-05-18,484.5,709.1
2026-05-19,475.0,672.5
2026-05-20,475.9,672.5
2026-05-21,516.4,747.6
2026-05-22,504.3,748.0
2026-05-26,515.5,790.8
2026-05-27,529.3,864.4
2026-05-28,516.4,882.1
2026-05-29,546.5,899.0
2026-06-01,601.7,910.6
2026-06-02,621.5,909.4
2026-06-04,606.0,885.5
2026-06-05,567.2,797.7
2026-06-08,509.5,736.4
2026-06-09,555.2,853.6
2026-06-10,521.5,789.2
2026-06-11,515.5,809.6
2026-06-12,556.0,828.5
2026-06-15,581.0,881.7
2026-06-16,591.4,917.9
2026-06-17,597.4,971.5
2026-06-18,625.0,1034.7
2026-06-19,610.3,1065.1
2026-06-22,609.5,1124.9
2026-06-23,534.5,984.6
2026-06-29,556.9,1012.7
